participant,similitud
435727,0.31639087
74505,0.31253994
994948,0.30130485
830073,0.32869914
900128,0.31374583
920901,0.41364947
872964,0.29775718
462788,0.3004794
869819,0.28365642
414100,0.31767327
749924,0.32106662
754727,0.2845159
305144,0.33350787
252906,0.30365306
837818,0.28747797
674789,0.31645364
613872,0.26513803
224686,0.31211036
897872,0.3084759
552338,0.23108916
602769,0.30910978
703160,0.30361897
193183,0.25304392
440726,0.29823583
920279,0.26062307
494567,0.28450888
252309,0.29554802
372294,0.3109151
481842,0.32819453
137975,0.25484452
424796,0.36680412
192504,0.32430977
409058,0.36554873
213887,0.28742376
548278,0.31269133
99074,0.28423312
280791,0.28826445
314882,0.30244827
541453,0.27437115
518718,0.33719924
898939,0.32281536
496195,0.35864893
490239,0.37613645
123780,0.32643878
555999,0.33768457
110006,0.30888095
849400,0.32932284
696842,0.29868153
134943,0.33444542
721813,0.3487727
148901,0.27470368
302066,0.34511712
288390,0.26162738
640370,0.19122958
360770,0.3273295
684630,0.24552603
524071,0.31207937
948036,0.28960386
137796,0.26628315
955489,0.3253909
265686,0.31082562
941360,0.3383893
785332,0.29765832
57826,0.29789406
390392,0.31861624
494186,0.33689496
913832,0.24651492
610199,0.26870516
852047,0.36088464
564453,0.32906988
308070,0.34726587
182205,0.30559537
637884,0.3399805
185838,0.27157292
116372,0.3143305
566720,0.32921273
796664,0.29988104
56267,0.3224623
658065,0.35814667
745048,0.38390285
622675,0.33724898
761444,0.31165224
663401,0.33751607
638143,0.30234763
20390,0.32365176
820663,0.36028463
902321,0.33545193
229060,0.31733763
453030,0.34514838
885592,0.3275784
418246,0.32923797
